temperature_K,lattice_target_angstrom,pointwise_pressure_GPa,zero_pressure_GPa,zero_pressure_mass_shift_Ha_per_bohr2,zero_A1_Ha_per_bohr2,zero_chi_soft,zero_epsilon_r,zero_lattice_parameter_angstrom,zero_isotropic_strain,zero_mean_u_component_variance_bohr2,zero_delta_A1_quartic_local,zero_delta_A1_quartic_homogeneous,zero_delta_A1_quartic_inhomogeneous,zero_delta_A1_sextic,zero_delta_A1_octic,zero_root_residual,lattice_matched_pressure_GPa,lattice_matched_pressure_mass_shift_Ha_per_bohr2,lattice_matched_A1_Ha_per_bohr2,lattice_matched_chi_soft,lattice_matched_epsilon_r,lattice_matched_lattice_parameter_angstrom,lattice_matched_isotropic_strain,lattice_matched_mean_u_component_variance_bohr2,lattice_matched_delta_A1_quartic_local,lattice_matched_delta_A1_quartic_homogeneous,lattice_matched_delta_A1_quartic_inhomogeneous,lattice_matched_delta_A1_sextic,lattice_matched_delta_A1_octic,lattice_matched_root_residual,affine_pressure_pressure_GPa,affine_pressure_pressure_mass_shift_Ha_per_bohr2,affine_pressure_A1_Ha_per_bohr2,affine_pressure_chi_soft,affine_pressure_epsilon_r,affine_pressure_lattice_parameter_angstrom,affine_pressure_isotropic_strain,affine_pressure_mean_u_component_variance_bohr2,affine_pressure_delta_A1_quartic_local,affine_pressure_delta_A1_quartic_homogeneous,affine_pressure_delta_A1_quartic_inhomogeneous,affine_pressure_delta_A1_sextic,affine_pressure_delta_A1_octic,affine_pressure_root_residual,lattice_matched_error_angstrom,affine_lattice_error_angstrom
400.0,4.0092513223824975,-1.2515598493173115,0.0,0.0,0.009565182215547308,25.766686188631354,330.6407281502314,3.9991684344473906,0.003052027701878594,0.016795159113311,0.08752817140906548,-0.010904739176005719,-0.005197811642266382,-0.067865057696715,0.046447692517742924,3.469446951953614e-17,-1.2515598493173115,-0.0066124684507487316,0.007822676415778301,31.506230781573716,402.76597266278634,4.009251322382497,0.0055809687440423455,0.017794850761008216,0.0927380763171115,-0.011553817675412706,-0.005366765834602152,-0.07618450982536529,0.05524523508106965,5.377642775528102e-17,-1.2352778210766948,-0.0065264442800995965,0.007843002081018196,31.424580274124917,401.73992212533426,4.009120316737439,0.005548110543626451,0.017782075275066988,0.09267149672023164,-0.01154552282443238,-0.005364629364494155,-0.07607515855651055,0.05512633358259735,-9.454242944073599e-17,-8.881784197001252e-16,-0.00013100564505830192
410.0,4.009749997239285,-1.3042570250104313,0.0,0.0,0.010054690531359121,24.51224607225877,314.87696873437363,3.9992546963114877,0.0030736634841954805,0.016914219764801616,0.08814865740990882,-0.010982042721740009,-0.00528070660421491,-0.06883065708615276,0.04744251272983194,6.245004513516506e-17,-1.3042570250104313,-0.0068908877464015856,0.008229308073594375,29.949425429328425,383.20257963205404,4.009749997239285,0.005706043952667348,0.01793926289176028,0.09349068185354834,-0.01164758139679683,-0.005454959872570017,-0.07742606112168889,0.056601189553793896,-1.651023068260926e-14,-1.2905943431883744,-0.006818702582783361,0.008246422724827089,29.887268299146392,382.42149009786164,4.009640197059276,0.005678504404132415,0.017928722253905068,0.09343574919404046,-0.011640737585089874,-0.005453188342664719,-0.0773351008285659,0.056501476066178426,-1.39194211712379e-14,0.0,-0.00010980018000950054
420.0,4.010248672096073,-1.3571153438366645,0.0,0.0,0.010546819515014549,23.368471237629315,300.50387026304253,3.999340201169391,0.0030951093978907373,0.017032235578557323,0.0887636982264738,-0.011058667876581803,-0.00536314514672213,-0.06979451410696462,0.048442521615082695,6.29704621779581e-16,-1.3571153438366645,-0.007170158422740987,0.008638425681795533,28.53101451164614,365.37830235700517,4.010248672096073,0.0058311191612922305,0.018082011915998234,0.09423462009061294,-0.011740265298535543,-0.005542677652504386,-0.07866317649664743,0.057963156657884936,3.5561831257524545e-17,-1.3459108653000535,-0.007110960885467124,0.008652503876322758,28.484592669125714,364.79494827929204,4.010158730160616,0.0058085603613282554,0.018073509767360527,0.09419031104189923,-0.011734745034469914,-0.005541241292544084,-0.07858921915318952,0.0578814323963682,-1.1275702593849246e-17,0.0,-8.994193545674989e-05
430.0,4.0107473469528605,-1.4101329626536705,0.0,0.0,0.011041440487921937,22.321638988561975,287.34898825019917,3.9994249422107626,0.0031163637348288493,0.01714919715479197,0.08937324487166319,-0.011134608537450113,-0.005445114672460342,-0.07075637319413021,0.04944736521656982,3.613429000459689e-15,-1.4101329626536705,-0.007450270741742354,0.009049916382395953,27.23373764695871,349.076240485909,4.01074734695286,0.005956194369917215,0.018223116856203325,0.09496999016419257,-0.011831881731520858,-0.00562990682647311,-0.07989568004424838,0.059330738758458984,3.133777959352102e-15,-1.4012273874117327,-0.007403219188150886,0.009061136234203031,27.200015772278324,348.6524789108643,4.010675937952016,0.005938283910713684,0.018216468056899405,0.09493533986756772,-0.01182756480771242,-0.005628777533721978,-0.07983738996811897,0.05926582106061067,2.9160701631170127e-15,-8.881784197001252e-16,-7.140900084490198e-05
440.0,4.011246021809649,-1.4633078248288924,0.0,0.0,0.01153843665899543,21.360176925956523,275.26689963985285,3.9995089155712873,0.0031374255257806045,0.01726509915988461,0.08997726954924802,-0.011209861241338446,-0.005526605417038074,-0.07171601204162996,0.05045671900600703,2.0882601203808804e-14,-1.4633078248288924,-0.007731213837430796,0.009463677336089146,26.043052793570375,334.1136533333273,4.011246021809649,0.006081269578542368,0.01836259893821991,0.09569690269302748,-0.01192244447724154,-0.0057166379144221605,-0.08112342442526004,0.06070356849359831,9.191692545984509e-14,-1.4565439095234123,-0.00769547749083465,0.009472219275407263,26.019567465565057,333.8185279976127,4.011191843486171,0.006067680834253965,0.018357628940393635,0.09567100149026385,-0.011919217563484115,-0.005715789103090619,-0.08107951684094954,0.06065429197968756,8.880396418220471e-14,0.0,-5.4178323478204504e-05
450.0,4.011744696666437,-1.5166377073786814,0.0,0.0,0.01203770158339877,20.474261367716824,264.13415640198593,3.999592119856226,0.0031582944209245347,0.017379939668784834,0.09057576222680509,-0.01128442473835254,-0.005607609995005835,-0.07267323727433857,0.051470284560553574,1.107273994715996e-14,-1.5166377073786814,-0.008012975964935103,0.00987961443893045,24.946626207790224,320.33555050497745,4.011744696666437,0.006206344787167446,0.018500481104746783,0.09641547724326513,-0.012011968431903363,-0.005802863840811244,-0.08234628711756364,0.06208130574715268,2.0816681711721685e-17,-1.5118604316350914,-0.007987735793518413,0.009885660183029527,24.93136967303228,320.14383123491825,4.01170647062465,0.006196757116791701,0.018497025352139238,0.09639746754746291,-0.012009724685322107,-0.005802270312669003,-0.08231552663980261,0.062046523263152714,6.938893903907228e-17,0.0,-3.822604178704836e-05
460.0,4.012243371523224,-1.570120259952193,0.0,0.0,0.012539137861419395,19.655501933941267,253.84532191315944,3.9996745557409428,0.0031789705896519134,0.017493719613644522,0.09116872776225511,-0.011358299633718785,-0.005688123023126023,-0.07362788076709258,0.052487786719371966,3.7279207498741584e-15,-1.570120259952193,-0.008295544706454548,0.01029764123818704,23.933932323367323,307.6096638344243,4.012243371523225,0.006331419995792393,0.01863678761299972,0.09712584023167399,-0.012100469345199996,-0.005888579550359322,-0.08356416720647619,0.06346363501128403,-6.895525817007808e-15,-1.5671769537467706,-0.008279994096202175,0.010301372938654116,23.925262191049818,307.50071173844697,4.012219843766411,0.0063255188779560425,0.018634690968156006,0.09711491354214241,-0.012099108038348946,-0.005888217382434276,-0.08354536627053649,0.0634422183803076,1.9081958235744878e-17,8.881784197001252e-16,-2.3527756813024325e-05
470.0,4.012742046380012,-1.6237530370829691,0.0,0.0,0.01304265603467905,18.896691581052643,244.3098297927483,3.99975622563481,0.003199454636270323,0.017606442319938735,0.09175618348635087,-0.01143148808659731,-0.00576814080628969,-0.0745797964994413,0.05350897113692965,8.586881206085195e-16,-1.6237530370829691,-0.008578907141656301,0.01071767801159849,22.995937013443292,295.8224671353882,4.012742046380012,0.006456495204417246,0.018771543701852692,0.09782812319094591,-0.012187963604194883,-0.005973781687975036,-0.08477698262901767,0.06485026307971924,5.126107871511465e-14,-1.6224934758584502,-0.00857225239888594,0.010719277549323539,22.992505544428095,295.77934602399154,4.012731987627022,0.006453972316785159,0.018770659901447672,0.09782351725462696,-0.012187389771411558,-0.005973628134196114,-0.08476899988993715,0.06484110368538672,1.4656678648528043e-14,0.0,-1.0058752989650088e-05
480.0,4.013240721236801,-1.677533524920394,0.0,0.0,0.01354817364555972,18.191606849227306,235.44947373810507,3.9998371333975333,0.003219747528852033,0.017718113114921812,0.09233815716214169,-0.011503993555860922,-0.005847661074538607,-0.0755288578557286,0.05453360216582014,4.85722573273506e-17,-1.677533524920394,-0.008863049988907936,0.011139650982412446,22.124844743718363,284.87599883472143,4.013240721236801,0.006581570413042449,0.018904775315952835,0.09852246133191778,-0.012274468054194932,-0.0060584683309901025,-0.08598466779645532,0.06624091701736705,-5.006585424016663e-14,-1.6778099979701293,-0.008864510701569704,0.011139299386512435,22.125543082494467,284.8847744185963,4.013242927059087,0.006582123666688542,0.018904966454161686,0.0985234574509658,-0.01227459215616384,-0.006058501735330489,-0.08598640651465746,0.06624292623959249,-5.033820582589499e-14,0.0,2.2058222866050414e-06
490.0,4.013739396093588,-1.731459163390691,0.0,0.0,0.014055614432196084,17.534846994702107,227.1963860015088,3.9999172840990393,0.003239850539011519,0.017828738996225984,0.09291468525787118,-0.011575820584923223,-0.005926682762036029,-0.07647495529792804,0.05556146101548635,-1.2663481374630692e-16,-1.731459163390691,-0.009147959722362414,0.011563491647320671,21.31389514534669,274.6853056320173,4.013739396093588,0.006706645621667241,0.01903650887699504,0.09920899235156681,-0.012359999850244018,-0.006142638764304548,-0.08718717153610704,0.06763534236504584,6.591949208711867e-17,-1.7331265200818085,-0.009156769004253466,0.011561368618002605,21.317809043931785,274.7344891321846,4.013752686906624,0.006709979158922549,0.019037644916596905,0.09921491283545915,-0.012360737456566673,-0.0061428384835310115,-0.08719757796469335,0.06764745188786207,-8.326672684688674e-17,0.0,1.3290813035915505e-05
500.0,4.014238070950376,-1.7855273645391596,0.0,0.0,0.014564907636641804,16.921703496769407,219.49139756670195,3.999996683815746,0.0032597651908066244,0.017938328350667002,0.09348581148152928,-0.011646974619165093,-0.006005205820650341,-0.0774179943519989,0.056592344143201,-1.1102230246251565e-16,-1.7855273645391596,-0.009433622668867131,0.011989136198178716,20.557198150983183,265.17637075807374,4.014238070950377,0.006831720830292496,0.01916677109443326,0.09988785544652976,-0.01244457633422184,-0.006226293290972003,-0.0883844553064012,0.06903330154838268,2.4789198471708573e-15,-1.788443042193488,-0.00944902730693723,0.011985419717155553,20.563572599156092,265.25647443627656,4.0142612918874665,0.006837544993093971,0.01916872940488615,0.09989806120473883,-0.012445847823498625,-0.006226639625473767,-0.08840251709093866,0.06905446355553664,2.39044894989604e-15,8.881784197001252e-16,2.3220937090506766e-05
