temperature_K,pointwise_pressure_GPa,zero_scha_A1,zero_scha_chi_soft,lattice_matched_scha_A1,lattice_matched_scha_chi_soft,zero_post_delta_A1,zero_post_delta_A1_iid_se_diagnostic,zero_post_delta_over_A1,zero_post_A1,zero_post_dyson_stable,zero_post_chi_dyson,zero_post_chi_linearized,zero_effective_vertex_xxxx,zero_effective_vertex_xxyy,lattice_matched_post_delta_A1,lattice_matched_post_delta_A1_iid_se_diagnostic,lattice_matched_post_delta_over_A1,lattice_matched_post_A1,lattice_matched_post_dyson_stable,lattice_matched_post_chi_dyson,lattice_matched_post_chi_linearized,lattice_matched_effective_vertex_xxxx,lattice_matched_effective_vertex_xxyy
400.0,-1.2515598493173115,0.009565182215547308,25.766686188631354,0.007822676415778301,31.506230781573716,-0.023471241649734693,0.0009946819601878755,-2.453820650858526,-0.013906059434187386,False,nan,88.99351286248614,4.488166515827256,1.2347117714553346,-0.038662863867990976,0.001821404861195526,-4.942408686368283,-0.030840187452212675,False,nan,187.22289947114743,5.126387418104315,1.4516367518976483
410.0,-1.3042570250104313,0.010054690531359121,24.51224607225877,0.008229308073594375,29.949425429328425,-0.02408614852333221,0.0009938090241948334,-2.3955136608343146,-0.014031457991973088,False,nan,83.23166639608692,4.56047631313786,1.2593134215928763,-0.04002905150568216,0.0018342509374099693,-4.864206218518488,-0.03179974343208779,False,nan,175.62960684372348,5.224414228637867,1.484916860318894
420.0,-1.3571153438366645,0.010546819515014549,23.368471237629315,0.008638425681795533,28.53101451164614,-0.02471752298275392,0.0009941430281127696,-2.3435996934967767,-0.01417070346773937,False,nan,78.13481326762562,4.633139056311151,1.2840283466914428,-0.041427787087801045,0.0018489019761394109,-4.795756612817222,-0.03278936140600551,False,nan,165.35881602625724,5.322758939504025,1.5182959738029722
430.0,-1.4101329626536705,0.011041440487921937,22.321638988561975,0.009049916382395953,27.23373764695871,-0.025364814708587008,0.0009955320623011776,-2.2972378229392434,-0.014323374220665071,False,nan,73.59975234308182,4.706122728233332,1.3088458350325443,-0.04285831472914689,0.0018651334055009398,-4.735769140642624,-0.03380839834675094,False,nan,156.20643197978302,5.4213846654778255,1.5517618769024395
440.0,-1.4633078248288924,0.01153843665899543,21.360176925956523,0.009463677336089146,26.043052793570375,-0.0260275333350651,0.000997847862316473,-2.2557244195446433,-0.014489096676069669,False,nan,69.54284962363069,4.779397822659478,1.3337560288748223,-0.04431994132842515,0.00188275405804032,-4.683162765853587,-0.034856263992336003,False,nan,148.0069079455784,5.5202574288116395,1.585303332552178
450.0,-1.5166377073786814,0.01203770158339877,20.474261367716824,0.00987961443893045,24.946626207790224,-0.02670523873485926,0.0010009814073609004,-2.2184665859875223,-0.01466753715146049,False,nan,65.89572608477178,4.852937092280497,1.358749837723713,-0.045812026872652865,0.0019016002279620184,-4.637025782315084,-0.035932412433722416,False,nan,140.62477511509067,5.619345892516,1.6189099911264933
460.0,-1.570120259952193,0.012539137861419395,19.655501933941267,0.01029764123818704,23.933932323367323,-0.02739753317305578,0.001004839454110421,-2.184961476287211,-0.014858395311636385,False,nan,62.60201645669171,4.926715329861345,1.3838188630694925,-0.04733397661776903,0.0019215309327882373,-4.596584355865796,-0.037036335379581994,False,nan,133.94827121530827,5.718621123830488,1.6525723099118945
470.0,-1.6237530370829691,0.01304265603467905,18.896691581052643,0.01071767801159849,22.995937013443292,-0.028104054924526112,0.0010093417855304876,-2.1547800424852412,-0.015061398889847063,False,nan,59.61490546890376,5.0007091770081455,1.4089553327012094,-0.048885234744221656,0.0019424241102410902,-4.561177774823882,-0.03816755673262316,False,nan,127.88449383041072,5.8180563838222135,1.6862814815799356
480.0,-1.677533524920394,0.01354817364555972,18.191606849227306,0.011139650982412446,22.124844743718363,-0.02882447304517481,0.0010144190107282498,-2.1275541485712908,-0.015276299399615091,False,nan,56.89523547047877,5.0748969561351664,1.4341520430566819,-0.05046527916803279,0.0019641735456928378,-4.530238806198562,-0.03932562818562035,False,nan,122.35567498282957,5.917626939294479,1.7200293703352445
490.0,-1.731459163390691,0.014055614432196084,17.534846994702107,0.011563491647320671,21.31389514534669,-0.029558483060591723,0.0010200107928927124,-2.10296627039544,-0.015502868628395639,False,nan,54.41003878110549,5.149258522086223,1.4594023083757333,-0.05207361726784043,0.001986686374368884,-4.503277976588169,-0.04051012562051976,False,nan,117.29628974869594,6.017309894063763,1.7538084547170767
500.0,-1.7855273645391596,0.014564907636641804,16.921703496769407,0.011989136198178716,20.557198150983183,-0.030305803389151016,0.0010260644123215128,-2.080741199683883,-0.015740895752509212,False,nan,52.13138913133234,5.223775130507681,1.4846999156474423,-0.0537097823493212,0.00200988103891275,-4.47987089824539,-0.04172064615114249,False,nan,112.65079189703668,6.117084037354532,1.7876117762719121
510.0,-1.8397355277279448,0.015075987407962425,16.348053485035077,0.012416525023171143,19.849599467254095,-0.03106617235697282,0.0010325335936310813,-2.0606393144481623,-0.015990184949010396,False,nan,50.03549521099965,5.298429320583324,1.510039084520841,-0.05537333069206728,0.0020336856092735543,-4.459647976284197,-0.042956805668896134,False,nan,108.37182556144569,6.216929706886576,1.8214328932592219
520.0,-1.8940810521810505,0.015588792285181667,15.810272147853746,0.01284560227425155,19.186570097932233,-0.03183934569360796,0.001039377542714584,-2.0424510835181042,-0.016250553408426294,False,nan,48.101979626953735,5.3732048101880725,1.5354144315035447,-0.057063839074802135,0.002058036393326996,-4.442285994576067,-0.044218236800550585,False,nan,104.41880172792854,6.316828665179935,1.855265838877917
530.0,-1.948561347328627,0.016103264748056866,15.305160310105753,0.013276315491137355,18.564115070149715,-0.03262509441820982,0.001046560151235387,-2.0259925504948675,-0.016521829670152956,False,nan,46.313301082509724,5.4480864017264,1.5608209378466977,-0.05878090268275613,0.0020828767815467765,-4.42750119353487,-0.045504587191618776,False,nan,100.75675670015625,6.416763987344666,1.8891050834159384
540.0,-2.0031738412916504,0.01661935082499865,14.82988421631716,0.01370861527289426,17.97869759846649,-0.03342320304898408,0.0010540493359441929,-2.011101600834447,-0.01680385222398543,False,nan,44.6542881039421,5.523059897418717,1.5862539206856607,-0.06052413333245671,0.002108156281600777,-4.415043542153359,-0.04681551805956245,False,nan,97.35543032690407,6.5167199592456395,1.9229454999387143
