x_ba,temperature_K,T0_reference_K,curie_constant_reference_K,epsilon_r_reference_10kHz,chi_soft_reference_10kHz,p_fit_GPa,A1_u_zero,chi_soft_zero,epsilon_r_zero,A1_u_fit,chi_soft_fit,epsilon_r_fit,relative_error_fit
0.4,300.0,190.0,100000.0,909.0909090909091,71.8160619484746,-0.519687507731232,0.003716920023095437,61.56512115585355,780.2737879449802,0.0029117532824013363,78.58929289495613,994.2058394210428,0.09362642336314697
0.4,310.0,190.0,100000.0,833.3333333333334,65.78746561923614,-0.47345039180335946,0.00397237145235488,57.606050766685776,730.5226421463628,0.0032316538470359224,70.80975945439643,896.4453390001688,0.0757344068002026
0.4,320.0,190.0,100000.0,769.2307692307693,60.686345648342055,-0.42721327587548674,0.004225901746621437,54.15001229771557,687.0927818878007,0.0035516673769261874,64.42963466543232,816.2703263361857,0.06115142423704123
0.4,330.0,190.0,100000.0,714.2857142857143,56.31395710186142,-0.380976159947614,0.004477454001866949,51.107757098805024,648.8626755548298,0.00387144728691467,59.10777406731928,749.3938537023422,0.049151395183278934
0.4,340.0,190.0,100000.0,666.6666666666666,52.52455369491152,-0.3347390440197413,0.004726988197584688,48.409816564681364,614.9593549075298,0.0041907197308909926,54.604613585035956,692.8054701460335,0.03920820521905033
0.4,350.0,190.0,100000.0,625.0,49.20882571383037,-0.2885019280918686,0.00497447792986912,46.001336175293716,584.6934977170686,0.004509267351255289,50.747186565637136,644.3316126024251,0.030930580163880173
0.4,360.0,190.0,100000.0,588.2352941176471,46.2831833775823,-0.2422648121639961,0.005219907825715641,43.83844297425231,557.5137801535045,0.004826917170649218,47.40761514200805,602.3653203999788,0.02402104467996402
0.4,370.0,190.0,100000.0,555.5555555555555,43.68261241202845,-0.19602769623612337,0.005463271478351773,41.885641681040084,532.9741553667999,0.0051435314349625935,44.48940080214611,565.6939574731363,0.01824912345164531
0.4,380.0,190.0,100000.0,526.3157894736842,41.35578575863816,-0.14979058030825065,0.00570456978567884,40.11391571069326,510.70999019633655,0.005459000595713432,41.91841117001794,533.3859489101387,0.013433302929263702
0.4,390.0,190.0,100000.0,500.0,39.26164177058691,-0.10355346438037794,0.005943809603842518,38.49932060417181,490.4203896956572,0.005773237867542779,39.636792524172385,504.7142834058112,0.009428566811622519
0.4,400.0,190.0,100000.0,476.1904761904762,37.36694006711197,-0.05731634845250522,0.006181002649474679,37.021927432426665,471.8549195563842,0.006086174961790682,37.59875997405785,479.1036110569444,0.0061175832195832225
0.4,410.0,190.0,100000.0,454.54545454545456,35.64448397304384,-0.01107923252463272,0.006416164599840047,35.665018873454905,454.803503714549,0.006397758709474594,35.76762456039563,456.09288480378706,0.003404346568331551
0.4,420.0,190.0,100000.0,434.7826086956522,34.071806669764236,0.03515788340324,0.0066493143517041345,34.414470341568624,439.0886473916232,0.00670794836472936,34.1136542958051,435.3084814738127,0.0012095073897693265
0.4,430.0,190.0,100000.0,416.6666666666667,32.630185808424606,0.08139499933111272,0.0068804734083919555,33.25826843097549,424.55938567807976,0.00701671343440953,32.61250921639573,416.444536060033,-0.0005331134559208861
0.4,440.0,190.0,100000.0,400.0,31.303894615992146,0.1276321152589852,0.007109665371040187,32.186132483899016,411.0865280181398,0.007324031918521648,31.244078957356358,399.2483342650407,-0.0018791643373983202
0.4,450.0,190.0,100000.0,384.61538461538464,30.07962582297757,0.17386923118685793,0.00733691551502998,31.1892144702655,398.55888678669027,0.007629888874316618,29.991607390085907,383.5093123667729,-0.0028757878463905318
0.4,460.0,190.0,100000.0,370.3703703703704,28.946043607223327,0.22010634711473065,0.007562250436424455,30.25985894969699,386.8802608827257,0.007934275237476293,28.84102513454963,369.05066932139874,-0.003563192832223394
0.4,470.0,190.0,100000.0,357.14285714285717,27.893431549737247,0.26634346304260337,0.007785697756214738,29.391409570944187,375.967004129508,0.008237186849076955,27.780434721367417,355.7228971193148,-0.003975888065918642
0.4,480.0,190.0,100000.0,344.82758620689657,26.913413427250205,0.3125805789704761,0.008007285872512534,28.5780519381763,365.74605067412887,0.00853862364841599,26.79970929400777,343.39873792818764,-0.004143660008255834
0.4,490.0,190.0,100000.0,333.3333333333333,25.9987298462623,0.3588176948983488,0.008227043752666693,27.814685132106572,356.153300474357,0.008838589000402275,25.890176762158934,331.96921504715874,-0.004092354858523772
0.4,500.0,190.0,100000.0,322.5806451612903,25.143058109209097,0.4050548108262215,0.008445000758743795,27.096815984481648,347.1322907126881,0.009137089132776473,25.044368969502816,321.3404808561289,-0.0038445093460003354
