temperature_K,epsilon_r_Barrett_reference,chi_soft_Barrett_reference,lattice_target_angstrom,pressure_lattice_pointwise_GPa,pressure_lattice_affine_GPa,pressure_dielectric_pointwise_GPa,pressure_dielectric_affine_GPa,chi_soft_zero_pressure,epsilon_r_zero_pressure,lattice_zero_pressure_angstrom,chi_soft_lattice_fit,epsilon_r_lattice_fit,lattice_lattice_fit_angstrom,chi_soft_dielectric_fit,epsilon_r_dielectric_fit,lattice_dielectric_fit_angstrom,A1_P_zero_pressure,A1_P_lattice_fit,A1_P_dielectric_fit
400.0,218.67934632355556,16.887878993562357,3.9094749362075976,-0.6228525613394289,-0.6224312957606022,3.527037457180983,3.5114001093230454,29.98410447332613,383.2513693514809,3.9049529833587777,34.47933022211898,439.7400421060221,3.909471874933248,16.921667961631766,219.1039510189925,3.8795800954217756,13.36082789155284,11.61891651518948,23.674525481695998
405.0,215.74041132144103,16.654005977056197,3.909685401939982,-0.6468279322096327,-0.6464807381051516,3.5925005982663705,3.5805325247991364,29.666407247550538,379.259068269231,3.90498879420604,34.25088598285636,436.86932713073264,3.9096828785287467,16.679145188977518,216.05631997539726,3.87911519750958,13.50390884907465,11.696411577527341,24.01876443975057
410.0,212.8791976675306,16.426317828925264,3.9098958790027436,-0.6708073307157638,-0.6705301804497008,3.658233956319899,3.649664940275228,29.35642057192816,375.3636608178471,3.905024548577353,34.02655747441979,434.05033195435226,3.90989386435159,16.44382239667692,213.0991665533421,3.8786502116590067,13.646502248763,11.773523068021772,24.362490039506174
415.0,210.09267051836216,16.204573044000302,3.9101063673964913,-0.6947908553043559,-0.6945796227942502,3.7242361259981513,3.718797355751319,29.053867374674468,371.5616652105979,3.9050602461938277,33.806240912322664,431.28175238255835,3.9101048316707985,16.2153820707432,210.22850075439393,3.8781851381078845,13.788610451896464,11.850251567142543,24.705705829359392
420.0,207.37795063388805,15.988542499638344,3.910316867121837,-0.7187785975738017,-0.7186290651387996,3.7905056926479483,3.78792977122741,28.75848342801677,367.8497610633652,3.9050958868141374,33.589835453929176,428.56232118941546,3.910315779805017,15.993525048197316,207.44056318568414,3.8777199771198934,13.930235937273723,11.92659785130291,25.048415414562058
425.0,204.73230455241503,15.778008673869277,3.910527378179388,-0.7427706427152436,-0.7426785074833488,3.8570412342769522,3.8570621867035015,28.470016629036976,364.22478035744723,3.9051314702319413,33.377243125772885,425.89080720403405,3.910526708119326,15.777969214576427,204.7318086923169,3.87725472898241,14.071381291075877,12.00256287917049,25.39062244970953
430.0,202.1531354992384,15.572764921927925,3.910737900569757,-0.7667670699289032,-0.7667279498278983,3.923841323376166,3.9261946021795926,28.18822632718059,360.68369898878774,3.9051669962734747,33.16836875027061,423.2660143896296,3.910737616022262,15.56844831051698,202.0988913604503,3.876789394004509,14.212049197439505,12.078147778888932,25.732330631808928
435.0,199.63797496595242,15.37261480615687,3.910948434293553,-0.7907679528101491,-0.7907773921724477,3.9909045286046023,3.9953270176556837,27.91288269502203,357.2236288607795,3.9052024647953076,32.9631198722245,420.68678091992086,3.9109485029630333,15.364710836925255,199.53865075926345,3.876323972515099,14.352242429689824,12.153353836146302,26.073543693883114
440.0,197.18447490351778,15.177371474750496,3.911158979351386,-0.8147733597122079,-0.814826834516997,4.058229416345502,4.064459433131775,27.64376613915325,353.8418104812725,3.905237875682249,32.7614066854497,418.1519782571052,3.911159368428911,15.1665190493827,197.04809930428138,3.8758584648612056,14.491963842185836,12.228182483030368,26.4142653990703
445.0,194.7904004776136,14.986857085244225,3.9113695357438667,-0.8387833540834301,-0.8388762768615463,4.125814552142934,4.133591848607866,27.380666748309483,350.5356060275176,3.9052732288453984,32.56314195981384,415.6605102350108,3.9113702119427947,14.97364803343231,194.6244106370808,3.8753928714063632,14.63121636273464,12.302635287615846,26.75449953518243
