temperature_K,lattice_matched_pressure_GPa,lattice_matched_pressure_mass_shift_u,lattice_matched_A1_u,lattice_matched_chi_T_SCHA,lattice_matched_lattice_parameter_angstrom,lattice_matched_isotropic_strain,lattice_matched_mean_u_component_variance_bohr2,lattice_matched_delta_A1_quartic_local,lattice_matched_delta_A1_quartic_homogeneous,lattice_matched_delta_A1_quartic_inhomogeneous,lattice_matched_delta_A1_sextic,lattice_matched_delta_A1_octic,lattice_matched_residual,linear_pressure_GPa,linear_pressure_mass_shift_u,linear_A1_u,linear_chi_T_SCHA,linear_lattice_parameter_angstrom,linear_isotropic_strain,linear_mean_u_component_variance_bohr2,linear_delta_A1_quartic_local,linear_delta_A1_quartic_homogeneous,linear_delta_A1_quartic_inhomogeneous,linear_delta_A1_sextic,linear_delta_A1_octic,linear_residual,zero_pressure_pressure_GPa,zero_pressure_pressure_mass_shift_u,zero_pressure_A1_u,zero_pressure_chi_T_SCHA,zero_pressure_lattice_parameter_angstrom,zero_pressure_isotropic_strain,zero_pressure_mean_u_component_variance_bohr2,zero_pressure_delta_A1_quartic_local,zero_pressure_delta_A1_quartic_homogeneous,zero_pressure_delta_A1_quartic_inhomogeneous,zero_pressure_delta_A1_sextic,zero_pressure_delta_A1_octic,zero_pressure_residual
400.0,-1.6931951908836935,-0.006286554926721922,0.0040465838054026294,61.70447966002566,4.009250230638908,0.005843066824280068,0.020812568292487857,0.06704122964652406,-0.008289525198457938,-0.0038603277009112706,-0.01660544408316116,0.0032957132120291642,5.074066167232161e-16,-5.655351482701281,-0.020997388793293586,0.00022098569752618976,1129.9027534732825,4.042682340504762,0.01423053430158905,0.028157136638346666,0.09069947721162805,-0.011214824158162417,-0.0047854891406626885,-0.03039317840888213,0.008160896130896154,-9.837616832264473e-14,0.0,0.0,0.006638065288181153,37.61522932858531,3.9954084423133347,0.0023704307904079775,0.018547781915060083,0.05974592320016595,-0.0073874739243925385,-0.0036163936118763697,-0.013188126503536757,0.0023326432717193763,3.1051550219984847e-16
405.0,-1.7174938329285359,-0.006376771783397455,0.004145236660415676,60.23596927467517,4.00949966720441,0.005905645617218895,0.020944785568878816,0.06746712656924855,-0.00834218657253304,-0.0038962530435778394,-0.016817095080487007,0.0033589237150617266,-4.458239333260394e-16,-5.623614162391403,-0.020879553349140875,0.0003036700282877929,822.248904578816,4.04243262233342,0.014167884859210915,0.028133791534084115,0.09062427820331766,-0.011205525938580601,-0.004784834798065376,-0.030342801284872874,0.008140614339528712,-3.122502256758253e-17,0.0,0.0,0.006786758799525272,36.79110389638741,3.995460419102835,0.002383470758069746,0.01864981504648439,0.06007459126742413,-0.007428113128652815,-0.0036489400049272485,-0.013333623906894491,0.002371351716473981,5.35162192338845e-16
410.0,-1.7417924749733784,-0.0064669886400729884,0.00424339577220901,58.84257833039032,4.009749120431167,0.005968228590142989,0.021077035552174966,0.06789312884711765,-0.00839486097357872,-0.003932190339446704,-0.017030139242710154,0.003422953264799451,-7.077671781985373e-16,-5.5918768420815255,-0.020761717904988167,0.0003900948354786807,640.0811428499464,4.042185317324857,0.014105840832536607,0.0281151835934156,0.09056433849736328,-0.011198114503773744,-0.0047876997453649905,-0.030302676559844866,0.008124472195985196,7.840950111415168e-16,0.0,0.0,0.006934982163005512,36.004757077103,3.9955123614641197,0.002396502088360063,0.018751780593534308,0.060403041632594814,-0.007468725414448891,-0.0036814645398392594,-0.013479822342982893,0.002410459971580364,1.942890293094024e-16
415.0,-1.766091117018221,-0.0065572054967485225,0.004341056515463495,57.518796915823174,4.0099985867166765,0.006030814839255029,0.021209311170482182,0.06831921370021918,-0.008447545584900573,-0.003968136938251735,-0.017244566064911693,0.003487804043955725,-6.678685382510707e-17,-5.560139521771648,-0.020643882460835455,0.00048003883933470467,520.1503037943958,4.041940165097704,0.014044336896934212,0.02810080167421823,0.09051801160804726,-0.011192386268799885,-0.004793524906556211,-0.030271682689365198,0.008112010700743098,-8.673617379884035e-17,0.0,0.0,0.0070827304320281075,35.25368507376011,3.9955642666107023,0.002409524082204159,0.0188536730861972,0.060731256675729844,-0.007509308603106466,-0.0037139655589260726,-0.013626712319693639,0.002449967381923078,1.8041124150158794e-16
420.0,-1.790389759063063,-0.006647422353424055,0.004438214978682488,56.2596335040937,4.010248062704178,0.006093403522408124,0.021341605834299116,0.06874535990251954,-0.008500237781938449,-0.004004090409007818,-0.017460365544799666,0.00355347830923246,-7.025630077706069e-16,-5.528402201461769,-0.02052604701668274,0.0005732964720505908,435.53791151015764,4.04169694521022,0.01398331774785007,0.028090213037934835,0.0904839036024065,-0.011188168876402418,-0.004801854512269914,-0.03024887369971446,0.008102844118611138,1.304512053934559e-15,0.0,0.0,0.0072299992976364285,34.53559783811917,3.995616131963122,0.002422536092465036,0.01895548746085512,0.06105922008595551,-0.0075498606778158965,-0.0037464415522946615,-0.013774284765781845,0.002489873351472415,-2.7755575615628914e-16
425.0,-1.8146884011079056,-0.006737639210099588,0.004534867906405498,55.06055595585607,4.010497545262862,0.006155993854143583,0.021473913397689528,0.06917154765679255,-0.008552935116801596,-0.004040048520341322,-0.017677528143129752,0.003619978383884337,-3.139849491518021e-16,-5.496664881151891,-0.02040821157253003,0.0006696769708766494,372.8549121021628,4.041455469827931,0.01392273626126002,0.028083048955755946,0.09046082673501504,-0.011185315464035856,-0.004812315254507371,-0.03023344642028353,0.00809664609111732,-1.0755285551056204e-16,0.0,0.0,0.007376785038034846,33.84839694062348,3.995667955133179,0.0024355375199897255,0.019057219029348163,0.061386916761819614,-0.007590379771310286,-0.0037788911452686577,-0.013922531001830387,0.002530177338524658,-1.2750217548429532e-15
430.0,-1.8389870431527482,-0.006827856066775122,0.0046310126464525845,53.91744034737702,4.010747031469884,0.006218585101175998,0.02160622812295464,0.0695977584808222,-0.008605635304197886,-0.004076009222815399,-0.017896044747602122,0.0036873066509194798,2.5673907444456745e-16,-5.464927560842012,-0.020290376128377315,0.0007690033191099987,324.69606035255566,4.041215577775401,0.01386255200137519,0.028078993031946026,0.09044776183520314,-0.011183700013114433,-0.004824599672157783,-0.030224714056479654,0.008093138497934018,8.396061623727746e-16,0.0,0.0,0.007523084472428822,33.19015611590531,3.995719733909535,0.0024485278099968233,0.0191588634507082,0.061714332720240565,-0.007630864154607222,-0.003811313086995543,-0.014071442713671967,0.0025708788513604986,1.3105835861004778e-15
435.0,-1.8632856851975907,-0.006918072923450657,0.004726647101723729,52.8265264445059,4.010996518593956,0.006281176578278627,0.02173854464843775,0.07002397510369547,-0.00865833620861056,-0.004111970633014394,-0.018115906639862095,0.003755465546864796,-1.214306433183765e-17,-5.433190240532134,-0.020172540684224607,0.000871111165268538,286.63660628902966,4.040977129762059,0.01380273002289509,0.028077771831897705,0.09044382811824261,-0.011183213616220466,-0.004838453030191606,-0.03022208507191615,0.008092082593477877,-3.0531133177191805e-16,0.0,0.0,0.007668894918767169,32.55910411577209,3.9957714662445527,0.0024615064487733384,0.01926041670531291,0.0620414550132525,-0.00767131222671445,-0.0038437062401109386,-0.014221011928044515,0.0026119774442843317,-9.419548474554063e-16
440.0,-1.8875843272424333,-0.00700828978012619,0.004821769686102911,51.78437884179909,4.011246004080386,0.0063437676445287135,0.02187085795914515,0.07045018137116647,-0.00871103583259672,-0.004147931019188755,-0.0183371054652906,0.003824457556037266,2.5500435096859064e-16,-5.4014529202222565,-0.020054705240071895,0.0009758477845480981,255.8722293238437,4.040740004565328,0.013743239913428339,0.028079147389412983,0.09044825904987865,-0.011183761492797952,-0.004853662993946199,-0.03022504636349076,0.008093271968876962,-1.880440247958859e-15,0.0,0.0,0.007814214155021067,31.953609558117186,3.995823150242219,0.0024744729606465455,0.019361875071191584,0.06236827165168191,-0.007711722505192633,-0.0038760695713490416,-0.014371230990213257,0.0026534727139931255,-2.203098814490545e-16
445.0,-1.9118829692872754,-0.0070985066368017226,0.004916379284068067,50.78785294743317,4.011495485537401,0.006406357699876859,0.02200316335990266,0.07087636215918876,-0.008763732306095732,-0.004183888788287807,-0.018559633205305633,0.003894285205269009,1.214306433183765e-17,-5.369715599912379,-0.019936869795919188,0.0010830711106498796,230.5410472662611,4.040504095978043,0.013684055027657696,0.028082911214315606,0.09046038304371253,-0.011185260602419329,-0.004870051501858417,-0.03023314984363687,0.00809652695467032,-3.5041414214731503e-16,0.0,0.0,0.007959040383645631,31.372167507294943,3.9958747841470905,0.0024874269052099136,0.019463235102318996,0.06269477153522796,-0.007752093617509915,-0.003908402143001101,-0.014522092543432376,0.0026953642962592554,6.29704621779581e-16
